City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Borba,BR,77.34,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
592,Areia Branca,BR,79.21,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
594,San Pedro,PH,86.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
600,Tagusao,PH,84.52,broken clouds,9.1924,117.8141,Toledo
602,Pak Phanang,TH,84.2,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
605,Vanimo,PG,87.89,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
609,Pundri,IN,79.65,scattered clouds,29.75,76.55,Sahil Gollen Home
617,Douentza,ML,78.55,clear sky,14.9951,-2.9517,Ogomono Doumbo
619,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
622,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
626,Rayachoti,IN,80.24,clear sky,14.05,78.75,Swetha lodge
627,Puerto Escondido,MX,79.07,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
628,Boa Vista,BR,78.8,light rain,2.8197,-60.6733,Aipana Plaza Hotel
629,Gwadar,PK,78.19,clear sky,25.1216,62.3254,Sadaf Resort
633,Chai Nat,TH,82.99,overcast clouds,15.1167,100.1,Thai Boxing ROSEINN RESORT
638,Kununurra,AU,93.2,clear sky,-15.7667,128.7333,Hotel Kununurra
643,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
650,Ugoofaaru,MV,83.61,few clouds,5.6667,73.0,Ungoofaaru Inn
651,Baghmara,IN,80.04,clear sky,23.795,86.2085,Shankar tea shop
655,Gigmoto,PH,84.42,scattered clouds,13.7796,124.39,Cj's Travellers Inn
658,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
660,Saint-Leu,RE,78.8,clear sky,-21.15,55.2833,La Caz Oceane
667,Mandiana,GN,83.28,scattered clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
669,Trincomalee,LK,78.35,scattered clouds,8.5711,81.2335,Welcombe Hotel
672,Pemangkat,ID,82.35,scattered clouds,1.1667,108.9667,Kost H.Syamsuddin
674,Dapaong,TG,86.5,scattered clouds,10.8639,0.205,Hotel Caroli
675,Sarangani,PH,82.94,overcast clouds,5.4033,125.4636,Ballistic Islet
686,Kishorganj,BD,82.26,light rain,24.4333,90.7667,হুসাইন সেবা হোটেল
