City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Chuy,UY,-33.6971,-53.4616,67.5,88,0,9.84,clear sky
167,Wanlaweyn,SO,2.6185,44.8938,79.41,79,61,5.39,broken clouds
168,Quelimane,MZ,-17.8786,36.8883,71.15,93,75,2.46,light rain
169,Murgab,TM,37.4966,61.9714,48.2,61,75,6.91,broken clouds
170,Kodinsk,RU,58.6881,99.1844,31.51,93,100,4.41,overcast clouds
171,Sorkjosen,NO,69.8,20.9333,21.74,90,100,3.09,overcast clouds
172,Dunedin,NZ,-45.8742,170.5036,60.01,66,71,25.99,broken clouds
173,Flores,GT,16.9226,-89.8994,72.34,71,100,3.09,overcast clouds
174,Narsaq,GL,60.9167,-46.05,35.6,93,90,1.14,mist
175,Torbay,CA,47.6666,-52.7314,37.99,93,90,9.22,light rain
176,Verkhnevilyuysk,RU,63.4453,120.3167,-0.27,86,100,6.82,overcast clouds
177,Lixourion,GR,38.2019,20.4314,55.71,74,100,13.69,overcast clouds
178,Qaqortoq,GL,60.7167,-46.0333,35.6,93,90,1.14,mist
179,Pimentel,PE,-6.8367,-79.9342,71.01,83,78,3.0,broken clouds
180,Sovetskaya,RU,44.7769,41.1722,47.84,89,100,6.26,light rain
181,Coquimbo,CL,-29.9533,-71.3436,59.0,72,0,6.91,clear sky
182,Skagen,DK,57.7209,10.5839,42.01,68,1,38.99,clear sky
183,San Quintin,MX,30.4833,-115.95,62.76,72,9,14.18,clear sky
184,Nouadhibou,MR,20.931,-17.0347,64.4,77,0,14.97,clear sky
185,Bara,NG,10.3744,10.7288,76.57,16,14,7.07,few clouds
186,Yangmei,CN,24.1023,112.5618,65.17,73,75,3.29,broken clouds
187,Vestmannaeyjar,IS,63.4427,-20.2734,20.89,56,31,25.41,scattered clouds
188,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.61,90,53,5.26,broken clouds
189,Nago,JP,26.5881,127.9761,71.6,60,75,19.57,broken clouds
190,Yulara,AU,-25.2406,130.9889,80.6,26,0,16.11,clear sky
191,Deyang,CN,31.1302,104.382,63.0,68,100,3.78,overcast clouds
192,Yakeshi,CN,49.2833,120.7333,39.74,40,59,18.19,broken clouds
193,Saldanha,ZA,-33.0117,17.9442,60.8,88,13,5.75,few clouds
194,Saumur,FR,47.3333,-0.25,37.99,93,4,6.11,clear sky
195,Ginir,ET,7.1333,40.7,57.7,77,12,3.76,few clouds
196,Tura,IN,25.5198,90.2201,82.22,22,0,3.98,clear sky
197,The Valley,AI,18.217,-63.0578,78.8,73,20,6.91,few clouds
198,San Patricio,US,28.017,-97.5169,71.6,77,75,11.5,broken clouds
199,Datong,CN,40.0936,113.2914,49.82,39,100,2.33,light rain
200,Altamira,BR,-3.2033,-52.2064,74.1,95,72,3.2,broken clouds
201,Wanning,CN,18.8003,110.3967,80.46,75,28,9.37,scattered clouds
202,Cururupu,BR,-1.8283,-44.8683,75.25,96,98,4.21,overcast clouds
203,Jizan,SA,17.3333,42.6667,80.6,78,0,3.44,clear sky
204,Touros,BR,-5.1989,-35.4608,77.0,88,20,6.91,few clouds
205,Klamath Falls,US,42.2249,-121.7817,57.2,44,1,19.57,clear sky
206,Beyneu,KZ,45.3167,55.2,45.48,81,13,8.21,few clouds
207,Narasannapeta,IN,18.4167,84.05,81.7,76,1,2.59,clear sky
208,Cheremukhovo,RU,60.3484,59.9851,31.1,98,100,3.0,light snow
209,Chachapoyas,PE,-6.2317,-77.869,52.27,94,98,3.65,overcast clouds
210,Nanortalik,GL,60.1432,-45.2371,33.55,89,71,5.46,broken clouds
211,Sergeyevka,KZ,53.88,67.4158,29.8,98,100,6.98,overcast clouds
212,Birjand,IR,32.8663,59.2211,35.6,38,0,6.91,clear sky
213,Bafata,GW,12.1667,-14.75,75.24,61,95,5.3,overcast clouds
214,Tessalit,ML,20.1986,1.0114,78.37,7,72,10.89,broken clouds
215,Longyearbyen,SJ,78.2186,15.6401,23.0,63,75,25.32,broken clouds
216,Boyolangu,ID,-8.1181,111.8935,79.57,84,100,4.07,overcast clouds
217,Alice Springs,AU,-23.7,133.8833,84.0,32,0,8.05,clear sky
218,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,90,4.61,overcast clouds
219,Bhadrachalam,IN,17.6667,80.8833,82.85,66,34,6.24,scattered clouds
220,Lufilufi,WS,-13.8745,-171.5986,87.8,79,40,13.8,moderate rain
221,Sambava,MG,-14.2667,50.1667,75.54,89,92,4.52,overcast clouds
222,Bose,IT,45.4612,8.0137,45.0,77,64,2.28,broken clouds
223,Opunake,NZ,-39.4556,173.8583,66.99,75,100,11.99,overcast clouds
224,Hamilton,US,39.1834,-84.5333,60.8,41,40,3.44,scattered clouds
225,Kavaratti,IN,10.5669,72.642,82.27,68,100,11.95,overcast clouds
226,Carhuamayo,PE,-10.9167,-76.0333,37.96,96,100,3.98,overcast clouds
227,Homer,US,59.6425,-151.5483,37.4,70,1,25.32,clear sky
228,Nabire,ID,-3.3667,135.4833,87.1,61,18,4.21,few clouds
229,Margate,GB,51.3813,1.3862,46.99,70,58,5.01,broken clouds
230,Wanaka,NZ,-44.7,169.15,61.0,71,26,5.01,scattered clouds
231,Mabaruma,GY,8.2,-59.7833,73.02,99,97,2.44,overcast clouds
232,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.72,83,97,8.46,overcast clouds
233,Lompoc,US,34.6391,-120.4579,55.4,71,100,13.8,overcast clouds
234,Panama City,PA,8.9936,-79.5197,79.0,78,75,6.91,broken clouds
235,Burnie,AU,-41.0667,145.9167,68.0,52,0,8.01,clear sky
236,Kazanskaya,RU,45.4106,40.4361,50.29,80,100,8.7,moderate rain
237,Kamennogorsk,RU,60.9545,29.1339,36.0,76,100,5.01,overcast clouds
238,Bonthe,SL,7.5264,-12.505,78.08,92,27,5.26,scattered clouds
239,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,100,75,9.22,broken clouds
240,Wukari,NG,7.85,9.7833,80.89,15,44,3.24,scattered clouds
241,Esperance,AU,-33.8667,121.9,68.0,68,47,13.8,scattered clouds
242,Inta,RU,66.0317,60.1659,7.05,99,82,1.57,broken clouds
243,Estevan,CA,49.1334,-102.9842,59.0,24,75,13.8,broken clouds
244,Tailai,CN,46.3833,123.4,58.21,17,5,13.38,clear sky
245,College,US,64.8569,-147.8028,30.2,59,75,16.11,light snow
246,Sokolo,ML,14.7328,-6.1219,85.05,8,7,7.52,clear sky
247,Nizhnevartovsk,RU,60.9344,76.5531,35.6,60,0,11.18,clear sky
248,Kamina,CD,-8.7386,24.9906,64.42,94,100,3.33,overcast clouds
